WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
20.0,3.0,5.0,0.5,,3.3,348.0,1027.4,8.5,18.1,-3.1,,,
30.0,3.0,4.0,0.5,3.0,3.3,348.0,1027.1,8.6,18.1,-3.3,,,
30.0,3.0,4.0,,,,,1027.0,8.7,18.1,-3.1,,,
20.0,3.0,4.0,,,,,1026.9,8.8,18.1,-3.8,,,
20.0,2.0,3.0,0.4,3.0,3.3,1.0,1026.8,9.0,18.1,-3.2,,,
360.0,2.0,3.0,,,,,1026.7,9.2,18.1,-3.6,,-1.8,
350.0,2.0,3.0,0.4,,3.3,12.0,1026.5,9.3,18.1,-3.4,,,
10.0,2.0,3.0,0.4,3.0,3.3,12.0,1026.4,9.4,18.1,-3.5,,,
360.0,2.0,4.0,,,,,1026.2,9.6,18.1,-3.5,,,
20.0,3.0,4.0,0.3,,3.4,266.0,1026.0,9.7,18.1,-3.0,,,
10.0,3.0,4.0,0.3,4.0,3.4,266.0,1025.9,9.9,18.1,-3.3,,,
10.0,2.0,4.0,,,,,1025.8,10.0,18.2,-3.4,,-2.7,
360.0,2.0,4.0,0.3,,3.5,262.0,1025.7,10.2,18.2,-2.5,,,
340.0,2.0,4.0,0.3,4.0,3.5,262.0,1025.7,10.4,18.2,-2.4,,,
340.0,2.0,4.0,,,,,1025.6,10.6,18.2,-2.1,,,
10.0,2.0,4.0,,,,,1025.6,11.0,18.3,-1.8,,,
40.0,2.0,3.0,0.3,4.0,3.6,256.0,1025.6,11.2,18.3,-1.2,,,
70.0,1.0,2.0,,,,,1025.6,11.2,18.3,-1.6,,-1.9,
300.0,1.0,1.0,0.3,,3.7,265.0,1025.7,11.6,18.3,-1.4,,,
10.0,1.0,2.0,0.3,4.0,3.7,265.0,1025.7,11.7,18.4,-1.6,,,
330.0,2.0,4.0,,,,,1025.8,11.7,18.4,-1.4,,,
320.0,2.0,3.0,,,,,1025.8,11.4,18.4,-1.6,,,
280.0,3.0,4.0,0.2,,3.8,,1025.8,11.4,18.4,-0.4,,,
